frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
323,1,2053.5202008670926 1323.4151601283747 2670.7537263800127 1849.3896646416651,2260.68603515625 1614.434326171875 2535.9697265625 1775.8099365234375,0.31001517176628113,AP05JEO,0.24130829844388485
324,1,2049.5119091612505 1325.2456850095678 2671.834126003124 1853.6000336215388,2221.897705078125 1627.007080078125 2531.11669921875 1768.529296875,0.293039470911026,AP05JEO,0.29613727289925074
325,1,2047.0558211353496 1325.476018042481 2672.906286200348 1855.5176963208282,2221.155029296875 1626.9169921875 2531.2646484375 1768.5908203125,0.2903378903865814,AP05JEO,0.20410817364462344
326,1,2052.349552189966 1327.7518079386514 2677.8450414459357 1858.8363349571964,2131.629638671875 1609.6827392578125 2557.355224609375 1781.5360107421875,0.2535736858844757,AP05JEO,0.3864819626636595
327,1,2056.377770997878 1329.9411588475125 2680.2563107226115 1863.060121355143,2149.5147094726562 1613.7344970703125 2553.2701416015625 1783.0597229003906,0,0,0
328,1,2060.4059898057903 1332.1305097563736 2682.6675799992868 1867.2839077530898,2167.3997802734375 1617.7862548828125 2549.18505859375 1784.5834350585938,0,0,0
329,1,2064.4342086137026 1334.3198606652347 2685.078849275962 1871.5076941510365,2185.2848510742188 1621.8380126953125 2545.0999755859375 1786.1071472167969,0,0,0
330,1,2068.462427421615 1336.5092115740958 2687.490118552638 1875.7314805489832,2203.169921875 1625.8897705078125 2541.014892578125 1787.630859375,0.3180405795574188,AP05JEO,0.254390312951244
331,1,2072.634118308615 1336.831541614305 2688.061427198293 1877.717600490877,2203.923828125 1625.938232421875 2541.14697265625 1788.0242919921875,0.31781890988349915,AP05JEO,0.2065380029384756
332,1,2066.736693335288 1340.7950946832898 2682.89833341312 1882.5373824393369,2260.00341796875 1636.1319580078125 2531.268310546875 1787.6209716796875,0.4581548273563385,AP05JEO,0.17516193899184135
333,1,2068.5676418822018 1343.1355519742572 2684.594970466494 1884.761560266171,2258.5882742745534 1639.6971261160713 2533.5046037946427 1792.1585867745537,0,0,0
334,1,2070.3985904291158 1345.4760092652245 2686.2916075198677 1886.985738093005,2257.1731305803573 1643.2622942243304 2535.740897042411 1796.6962018694196,0,0,0
335,1,2072.2295389760297 1347.816466556192 2687.988244573242 1889.2099159198392,2255.757986886161 1646.8274623325892 2537.9771902901784 1801.2338169642858,0,0,0
336,1,2074.0604875229433 1350.156923847159 2689.6848816266156 1891.4340937466732,2254.342843191964 1650.3926304408483 2540.2134835379466 1805.7714320591517,0,0,0
337,1,2075.8914360698573 1352.4973811381265 2691.3815186799898 1893.6582715735074,2252.9276994977677 1653.957798549107 2542.449776785714 1810.309047154018,0,0,0
338,1,2077.7223846167713 1354.8378384290938 2693.0781557333635 1895.8824494003413,2251.5125558035716 1657.5229666573662 2544.6860700334823 1814.8466622488838,0,0,0
339,1,2079.5533331636852 1357.1782957200612 2694.7747927867376 1898.1066272271755,2250.097412109375 1661.088134765625 2546.92236328125 1819.38427734375,0.45950189232826233,AP05JED,0.1844591027953417
340,1,2082.4473055658264 1360.0491774999869 2696.6833562773763 1900.014640701579,2220.7138671875 1675.3341064453125 2540.256591796875 1809.09814453125,0.490825355052948,AP05JED,0.42011786701187565
341,1,2085.092052009872 1365.3832119653273 2697.491654432573 1903.4917366736179,2226.898681640625 1675.5604248046875 2539.62890625 1827.2296142578125,0.38364115357398987,AP05JEL,0.10243703983376493
342,1,2086.394850782632 1369.6284784347163 2697.927362503979 1908.395555822754,2259.07275390625 1682.247802734375 2541.970703125 1828.83984375,0.357003778219223,AP05JEL,0.2745097308895035
343,1,2086.8021936119203 1371.0534872785986 2697.9238442003916 1910.3004060221626,2259.0205078125 1682.43603515625 2541.9697265625 1828.83837890625,0.3537592887878418,AP05JEL,0.26481220826904617
344,1,2081.148583483827 1374.5320575672774 2700.033493203392 1915.7242991097398,2267.450927734375 1685.0266723632812 2549.1268310546875 1825.661376953125,0,0,0
345,1,2075.494973355734 1378.0106278559563 2702.1431422063924 1921.148192197317,2275.88134765625 1687.6173095703125 2556.283935546875 1822.484375,0.271484911441803,AP05JEO,0.6190633522897088
346,1,2077.6498324271565 1379.926794355618 2704.7337581273546 1924.5947614908384,2219.99658203125 1685.343017578125 2560.218994140625 1836.49658203125,0.28453850746154785,AP05JEO,0.19444014749823024
347,1,2078.3776204014976 1383.4696506930939 2705.7550834492863 1928.1380340773537,2220.4474051339284 1687.7070138113838 2557.9146554129466 1841.1096365792412,0,0,0
348,1,2079.105408375838 1387.0125070305694 2706.7764087712185 1931.6813066638688,2220.8982282366073 1690.071010044643 2555.6103166852677 1845.722691127232,0,0,0
349,1,2079.833196350179 1390.5553633680452 2707.79773409315 1935.224579250384,2221.349051339286 1692.4350062779017 2553.305977957589 1850.3357456752233,0,0,0
350,1,2080.56098432452 1394.0982197055207 2708.8190594150824 1938.7678518368991,2221.799874441964 1694.7990025111608 2551.001639229911 1854.9488002232142,0,0,0
351,1,2081.288772298861 1397.6410760429965 2709.840384737014 1942.3111244234144,2222.2506975446427 1697.1629987444196 2548.6973005022323 1859.5618547712054,0,0,0
352,1,2082.016560273202 1401.183932380472 2710.8617100589463 1945.8543970099295,2222.7015206473216 1699.5269949776787 2546.3929617745534 1864.1749093191963,0,0,0
353,1,2082.744348247543 1404.7267887179478 2711.883035380878 1949.3976695964448,2223.15234375 1701.8909912109375 2544.088623046875 1868.7879638671875,0.3590116500854492,AP05JEO,0.4199096458956569
354,1,2086.359711777064 1408.0827479820282 2716.4429550502155 1953.7296429711805,2171.95556640625 1713.2677001953125 2576.514404296875 1866.64453125,0.28162214159965515,AP05JEO,0.5389040202187982
355,1,2087.7019267229966 1409.0923894365342 2718.4936391688784 1955.4598689611498,2171.091064453125 1713.189697265625 2576.543701171875 1866.734619140625,0.2820501923561096,AP05JEO,0.5287295074640914
356,1,2086.185220851031 1410.6054371078844 2721.266524532227 1958.7550605147212,2189.617919921875 1714.40478515625 2588.3095703125 1887.22998046875,0.2565574645996094,AP05JEO,0.3695755434113822
357,1,2090.5914227198646 1412.7604749077982 2726.960590105671 1961.9765084185547,2246.560546875 1714.9779052734375 2582.022216796875 1877.0606689453125,0.26874542236328125,AP05JEO,0.18733104753737026
358,1,2089.422844996835 1416.1840982114718 2729.8402410485096 1966.5221725834176,2264.7086181640625 1723.814208984375 2591.985107421875 1887.2900390625,0,0,0
359,1,2088.2542672738055 1419.6077215151456 2732.719891991348 1971.0678367482803,2282.856689453125 1732.6505126953125 2601.947998046875 1897.5194091796875,0.360917329788208,AP05JEO,0.2107597897459186
