frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
179,6.0,[995.0200379326366 1341.9747446237332 1687.7935704720553 1880.4810452682652],[1189.7271728515625 1662.9222412109375 1446.5245361328125 1792.4078369140625],0.28994372487068176,GX15OGJ,0.2305903937377841
185,6.0,[983.8319498648472 1362.9832185665432 1686.7966712218185 1902.528839046507],[1227.6024169921875 1682.827880859375 1445.738525390625 1803.224853515625],0.44498389959335327,GX15OGJ,0.19748589397360786
186,6.0,[978.609358685401 1365.387241386806 1686.1367196220206 1904.6013689852941],[1221.189697265625 1685.1390380859375 1444.196044921875 1808.2752685546875],0.4631953239440918,GX15OCJ,0.21365206483199933
187,6.0,[975.7748967629389 1366.2718519265723 1686.644165923992 1905.2424031012138],[1221.1395263671875 1685.126708984375 1444.2044677734375 1808.2991943359375],0.46401798725128174,GX15OCJ,0.21365206483199933
200,6.0,[955.433058903648 1405.10255651926 1675.8343611582632 1961.7081930282025],[1180.6563720703125 1731.0677490234375 1433.55322265625 1857.1439208984375],0.40916189551353455,GX15OCJ,0.3326276354365918
222,6.0,[927.5727238417788 1477.3052538108839 1658.8530928961 2059.2254182636534],[1148.5731201171875 1815.4141845703125 1395.8642578125 1958.3851318359375],0.3846929371356964,GX15OGJ,0.5355405250610273
223,6.0,[926.5343690263217 1478.6959133224266 1657.4376289428556 2061.075632367462],[1146.940673828125 1815.2713623046875 1395.6700439453125 1958.5543212890625],0.3850405216217041,GX15OGJ,0.5346592408642384
225,6.0,[925.2381466806523 1486.8936446931482 1660.4192656758073 2071.457282381016],[1146.9368896484375 1825.0308837890625 1411.0072021484375 1975.6102294921875],0.34685516357421875,GX15OGJ,0.5346849723619014
227,6.0,[912.5717157315087 1495.2320355655806 1652.6643339560435 2084.1218038861316],[1124.0137939453125 1834.3934326171875 1380.927978515625 1975.3524169921875],0.32542482018470764,GX15OGJ,0.31630222030564503
228,6.0,[908.3376027322041 1497.7178829467002 1654.4877338499932 2089.1290810910345],[1115.31494140625 1847.1741943359375 1382.031494140625 1981.5538330078125],0.2969110906124115,GX15OGJ,0.32753872758663244
229,6.0,[905.6402738920387 1498.0877811925827 1656.514283630981 2091.31598333441],[1115.5291748046875 1847.14013671875 1381.9058837890625 1981.572509765625],0.2945121228694916,GX15OGJ,0.32753872758663244
230,6.0,[902.4009709660231 1501.6294649318506 1656.7737507295155 2095.866315859322],[1154.9737548828125 1848.53759765625 1393.6158447265625 1972.119873046875],0.2545531094074249,GX15OGJ,0.6604542780164302
234,6.0,[894.2094330400811 1517.802703474697 1653.2020039777985 2108.7818863764746],[1113.5955810546875 1855.1748046875 1398.4842529296875 2005.953369140625],0.3901402950286865,GX15OGJ,0.31428077467101767
